,BLANK1cryo,BLANK2cryo,blankice,BLKjan,DEC1,DEC2,DEC3,DEC4,DEC5,DEC6,JAN1,JAN2,JAN3,JAN4,JAN5,JAN6,JAN7,JAN8,START,caa001cryo,caa001ice,caa002cryo,caa002ice,caa003cryo,caa003ice,caa004cryo,caa004ice,caa005cryo,caa005ice,caa006cryo,caa006ice,caa007cryo,caa007ice,caa008cryo,caa009aice,caa009bice,caa009cryo,caa010cryo,caa010ice,caa011cryo,caa011ice,caa012cryo,caa012ice,caa013cryo,caa013ice,caa014cryo,caa014ice,caa015cryo,caa015ice,caa016cryo,caa016ice,caa017cryo,caa017ice,caa018cryo,caa018ice,caa019cryo,caa019ice,caa020cryo,caa020ice,caa021cryo,caa021ice,caa022cryo,caa022ice,caa023cryo,caa023ice,caa024cryo,caa024ice,caa025cryo,caa025ice,caa026cryo,caa026ice,caa027cryo,caa027ice,caa028cryo,caa028ice,caa029cryo,caa029ice,caa030cryo,caa030ice,coh001cryo,coh001ice,coh002cryo,coh002ice,coh003cryo,coh003ice,coh004cryo,coh004ice,coh005aice,coh005bice,coh005cryo,coh006cryo,coh007cryo,coh007ice,coh008cryo,coh008ice,coh009cryo,coh009ice,coh010cryo,coh010ice,coh011cryo,coh011ice,coh012cryo,coh012ice,coh013cryo,coh013ice,coh014cryo,coh014ice,coh015cryo,coh015ice,coh016cryo,coh016ice,coh017cryo,coh017ice,coh018cryo,coh018ice,coh019aice,coh019bice,coh019cryo,coh020cryo,coh020ice,coh021cryo,coh021ice,coh022cryo,coh022ice,coh023cryo,coh023ice,coh024cryo,coh024ice,coh025cryo,coh025ice,coh026cryo,coh026ice,coh027cryo,coh027ice,coh028cryo,coh028ice,coh029cryo,coh030cryo,coh030ice,tar001cryo,tar001ice,tar002cryo,tar002ice,tar003cryo,tar003ice,tar004cryo,tar004ice,tar005cryo,tar005ice,tar006cryo,tar006ice,tar007cryo,tar007ice,tar008cryo,tar008ice,tar009cryo,tar009ice,tar010cryo,tar010ice,tar011cryo,tar011ice,tar012cryo,tar012ice,tar013cryo,tar013ice,tar014cryo,tar014ice,tar015cryo,tar015ice,tar016cryo,tar017cryo,tar017ice,tar018cryo,tar018ice,tar019aice,tar019bice,tar019cryo,tar020cryo,tar020ice,tar021cryo,tar021ice,tar022cryo,tar022ice,tar023cryo,tar023ice,tar024cryo,tar024ice,tar025cryo,tar025ice,tar026cryo,tar026ice,tar027cryo,tar027ice,tar028cryo,tar028ice,tar029cryo,tar029ice,tar030cryo,tar030ice,taxonomy
denovo7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Opisthokonta; Nucletmycea; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales
denovo8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; SAR; Rhizaria; Cercozoa; Thecofilosea; Cryomonadida; Rhizaspididae; Rhogostoma
denovo11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Opisthokonta; Holozoa; Metazoa (Animalia); Eumetazoa; Bilateria; Rotifera; Bdelloidea; Rotaria
denovo13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Opisthokonta; Holozoa; Metazoa (Animalia); Eumetazoa; Bilateria; Rotifera; Bdelloidea; Adinetida
denovo29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; SAR; Stramenopiles; Peronosporomycetes; Pythium
denovo30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; SAR; Rhizaria; Cercozoa; Glissomonadida; Amb-18S-1124
denovo33,0,0,0,0,0,14,116,1,0,4,0,41,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; SAR; Stramenopiles; Peronosporomycetes; Phytopythium
denovo35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; SAR; Rhizaria; Cercozoa; Thecofilosea; Cryomonadida; Protaspidae; Cryothecomonas
denovo41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Opisthokonta; Holozoa; Metazoa (Animalia); Eumetazoa; Bilateria; Mollusca; Gastropoda; Caenogastropoda
denovo42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Opisthokonta; Nucletmycea; Fungi; Chytridiomycota; Incertae Sedis; Chytridiomycetes; Chytridiales
