index,sample_name,taxon_id,scientific_name,host_subject_id,description,physical_specimen_location,physical_specimen_remaining,collection_timestamp,latitude,longitude,investigation_type,project_name,experimental_factor,geo_loc_name,env_biome,env_feature,env_material,env_package,alt,depth,elev,alkalinity,alkyl_diethers,aminopept_act,ammonium,bacteria_carb_prod,biomass,bishomohopanol,bromide,calcium,carb_nitro_ratio,chem_administration,chloride,chlorophyll,density,diether_lipids,diss_carb_dioxide,diss_hydrogen,diss_inorg_carb,diss_org_carb,diss_org_nitro,diss_oxygen,glucosidase_act,magnesium,mean_frict_vel,mean_peak_frict_vel,methane,misc_param,n_alkanes,nitrate,nitrite,nitro,org_carb,org_matter,org_nitro,organism_count,oxy_stat_samp,part_org_carb,particle_class,perturbation,petroleum_hydrocarb,ph,phaeopigments,phosphate,phosplipid_fatt_acid,porosity,potassium,pressure,redox_potential,salinity,samp_store_dur,samp_store_loc,samp_store_temp,samp_vol_we_dna_ext,sediment_type,silicate,sodium,sulfate,sulfide,temp,tidal_stage,tot_carb,tot_nitro,tot_org_carb,turbidity,water_content
Requirement,M,M,M,M,M,M,M,M,M,M,M,M,X,M,M,M,M,M,-,M,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Format,{text},{integer},{text},{text},{text},{text},{boolean},yyyy-mm-dd hh:mm,{decimal degrees},{decimal degrees},{term},{text},"{term, text}",GAZ:{term},ENVO:{term},ENVO:{term},ENVO:{term},{term},{float} m,{float} m,{float} m,{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},[DNA];{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{term}; {timestamp},{float} {unit},{float} ug/g sediment,{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{text};{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} %,{float} {unit},{text};{float} {unit},[aerobic|anaerobic],{float} {unit},{text};{float} {unit},{text};{interval},{float} {unit},{float},{text};{float} {unit},{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},month,{text},{float} deg c,{float} g,[biogenous|cosmogenous|hydrogenous|lithogenous],{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},[low|high],{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit}
1,START,408169,unspecified,START,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-25,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
2,DEC6,408169,unspecified,DEC6,cryoconite hole,University of Colorado Boulder,TRUE,2016-12-23,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
3,DEC1,408169,unspecified,DEC1,cryoconite hole,University of Colorado Boulder,TRUE,2016-12-23,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
4,DEC2,408169,unspecified,DEC2,cryoconite hole,University of Colorado Boulder,TRUE,2016-12-23,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
5,DEC3,408169,unspecified,DEC3,cryoconite hole,University of Colorado Boulder,TRUE,2016-12-23,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
6,DEC4,408169,unspecified,DEC4,cryoconite hole,University of Colorado Boulder,TRUE,2016-12-23,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
7,DEC5,408169,unspecified,DEC5,cryoconite hole,University of Colorado Boulder,TRUE,2016-12-23,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
8,JAN8,408169,unspecified,JAN8,cryoconite hole,University of Colorado Boulder,TRUE,2017-01-16,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
9,JAN1,408169,unspecified,JAN1,cryoconite hole,University of Colorado Boulder,TRUE,2017-01-16,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
10,JAN2,408169,unspecified,JAN2,cryoconite hole,University of Colorado Boulder,TRUE,2017-01-16,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
11,JAN5,408169,unspecified,JAN5,cryoconite hole,University of Colorado Boulder,TRUE,2017-01-16,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
12,JAN6,408169,unspecified,JAN6,cryoconite hole,University of Colorado Boulder,TRUE,2017-01-16,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
13,JAN3,408169,unspecified,JAN3,cryoconite hole,University of Colorado Boulder,TRUE,2017-01-16,-77.61012,162.95497,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,,lithogenous,,,,,,,,,,,
