index,sample_name,taxon_id,scientific_name,host_subject_id,description,physical_specimen_location,physical_specimen_remaining,collection_timestamp,latitude,longitude,investigation_type,project_name,experimental_factor,geo_loc_name,env_biome,env_feature,env_material,env_package,alt,depth,elev,alkalinity,alkyl_diethers,aminopept_act,ammonium,bacteria_carb_prod,biomass,bishomohopanol,bromide,calcium,carb_nitro_ratio,chem_administration,chloride,chlorophyll,density,diether_lipids,diss_carb_dioxide,diss_hydrogen,diss_inorg_carb,diss_org_carb,diss_org_nitro,diss_oxygen,glucosidase_act,magnesium,mean_frict_vel,mean_peak_frict_vel,methane,misc_param,n_alkanes,nitrate,nitrite,nitro,org_carb,org_matter,org_nitro,organism_count,oxy_stat_samp,part_org_carb,particle_class,perturbation,petroleum_hydrocarb,ph,phaeopigments,phosphate,phosplipid_fatt_acid,porosity,potassium,pressure,redox_potential,salinity,samp_store_dur,samp_store_loc,samp_store_temp,samp_vol_we_dna_ext,sediment_type,silicate,sodium,sulfate,sulfide,temp,tidal_stage,tot_carb,tot_nitro,tot_org_carb,turbidity,water_content,diameter,biomass_watercol,chlorophyll_watercol
Requirement,M,M,M,M,M,M,M,M,M,M,M,M,X,M,M,M,M,M,-,M,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Format,{text},{integer},{text},{text},{text},{text},{boolean},yyyy-mm-dd hh:mm,{decimal degrees},{decimal degrees},{term},{text},"{term, text}",GAZ:{term},ENVO:{term},ENVO:{term},ENVO:{term},{term},{float} m,{float} m,{float} m,{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},[DNA];{float} ng/g sediment,{float} {unit},{float} {unit},{float} {unit},{float} {unit},{term}; {timestamp},{float} {unit},{float} ug/g sediment,{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{text};{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} %,{float} {unit},{text};{float} {unit},[aerobic|anaerobic],{float} {unit},{text};{float} {unit},{text};{interval},{float} {unit},{float},{text};{float} {unit},{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},month,{text},{float} deg c,{float} g,[biogenous|cosmogenous|hydrogenous|lithogenous],{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},[low|high],{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} %,{float} m,[DNA];{float} ng/ml H2O,{float} ug/ml H2O
1,CAA001,408169,unspecified,CAA001,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61938,162.99481,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.22,200.5,6.69,,,,,1504,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.329,lithogenous,,,,,,,,,,,30.3,0.28,,0.54
2,CAA002,408169,unspecified,CAA002,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61938,162.99485,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.25,200.52,,,,,,1632,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.544,lithogenous,,,,,,,,,,,30.9,0.27,0.077,0.27
3,CAA003,408169,unspecified,CAA003,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61947,162.99541,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.19,199.55,,,,,,1877,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.356,lithogenous,,,,,,,,,,,27.7,0.25,0,0
4,CAA004,408169,unspecified,CAA004,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61953,162.99559,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.23,199.24,,,,,,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.287,lithogenous,,,,,,,,,,,30.5,0.23,0,0.16
5,CAA005,408169,unspecified,CAA005,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61957,162.99483,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.23,199.63,7.87,,,,,1190,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.319,lithogenous,,,,,,,,,,,26.5,0.175,0.139,0.67
6,CAA006,408169,unspecified,CAA006,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61958,162.99484,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.19,199.6,7.14,,,,,1963,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.360,lithogenous,,,,,,,,,,,25.3,0.22,0,0.09
7,CAA007,408169,unspecified,CAA007,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.62057,162.99128,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.18,197.61,7.61,,,,,2299,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.398,lithogenous,,,,,,,,,,,30.9,0.22,0,0.09
8,CAA008,408169,unspecified,CAA008,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.6206,162.99129,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,197.55,7.03,,,,,719,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.350,lithogenous,,,,,,,,,,,36.4,0.19,,0.09
